broker,scenario,total_messages,producers,message_size,run,throughput,avg_latency,p50,p95,p99
kafka,low-load,10,1,10,1,1.00,5562225.30,5561722.72,5565719.67,5565719.67
kafka,low-load,10,1,10,2,1.00,5575238.56,5574736.51,5578734.23,5578734.23
